Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,226.1,-169.7,90.0,bottom
C2,1uF,C_0603_1608Metric,222.0,-167.6,90.0,bottom
C3,1uF,C_0603_1608Metric,221.3,-165.3,180.0,bottom
C4,100nF,C_0402_1005Metric,221.3,-164.0,180.0,bottom
C5,100nF,C_0402_1005Metric,229.1,-169.7,270.0,bottom
C6,10nF,C_0402_1005Metric,228.1,-169.7,270.0,bottom
C7,18pF,C_0402_1005Metric,229.5,-168.2,180.0,bottom
C8,18pF,C_0402_1005Metric,229.6,-164.6,0.0,bottom
CN1,SM02B-SRSS-TB,CONN-SMD_2P-P1.00_SM02B-SRSS-TB-LF-SN,166.9375,-146.0,90.0,bottom
CN2,SM04B-SRSS-TB,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,220.0,-175.0625,0.0,bottom
CN3,SM04B-SRSS-TB,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,230.0,-175.0625,0.0,bottom
FPC1,~,FFC-SMD_22P-P0.50_HRS_FH34SRJ-22S-0.5SH,165.0,-130.0,90.0,bottom
FPC2,BUS,FPC-SMD_50P-P0.50_FH34SRJ-50S-0.5SH,181.0,-175.0375,0.0,bottom
FPC3,~,FFC-SMD_22P-P0.50_HRS_FH34SRJ-22S-0.5SH,186.5,-85.0,180.0,bottom
R1,2k2,R_0402_1005Metric,168.61,-132.8,0.0,bottom
R2,12k,R_0402_1005Metric,227.1,-169.7,270.0,bottom
R3,10k,R_0402_1005Metric,225.1,-162.5,90.0,bottom
R4,47k,R_0402_1005Metric,223.1,-162.5,90.0,bottom
R5,47k,R_0402_1005Metric,224.1,-162.5,90.0,bottom
R6,47k,R_0402_1005Metric,226.4,-162.5,90.0,bottom
U1,USB2422/MJ,QFN-24_L4.0-W4.0-P0.50-BL-EP2.6,225.09,-166.25,270.0,bottom
X1,24Mhz,CRYSTAL-SMD_4P-L2.0-W1.6-BL,229.5,-166.45,90.0,bottom
